33.171720 -70.880576,48.699069 29.596685,-4.835028 85.415441,-53.339881 151.384993,-24.548895 -116.510616,48.470253 13.886088,33.504088 114.583673,-24.194211 160.273078,-53.468623 -108.036327,-5.209116 -41.602274,55.143905 111.641073,14.854593 -168.606729,-41.560857 -119.828490,-41.852771 -16.560545,14.486078 32.404019,48.699069 -150.403315,-4.835028 -94.584559,-53.339881 -28.615007,-24.548895 63.489384,33.171720 109.119424,33.504088 -65.416327,-24.194211 -19.726922,-53.468623 71.963673,-5.209116 138.397726,48.470253 -166.113912,14.854593 11.393271,-41.560857 60.171510,-41.852771 163.439455,14.486078 -147.595981,55.143905 -68.358927
34.491647 -69.500548,47.767689 31.807277,-6.327697 86.340750,-53.827083 154.188159,-23.129036 -115.394937,49.365086 16.160520,32.170607 115.929930,-25.606057 161.409520,-52.928568 -105.285429,-3.715064 -40.680484,55.113094 114.682964,13.381454 -167.625335,-42.714639 -118.072467,-40.676319 -14.854592,15.955127 33.396549,47.767689 -148.192723,-6.327697 -93.659250,-53.827083 -25.811841,-23.129036 64.605063,34.491647 110.499452,32.170607 -64.070070,-25.606057 -18.590480,-52.928568 74.714571,-3.715064 139.319516,49.365086 -163.839480,13.381454 12.374665,-42.714639 61.927533,-40.676319 165.145408,15.955127 -146.603451,55.113094 -65.317036
35.792196 -68.072767,46.790369 33.934069,-7.818050 87.272019,-54.241264 157.054714,-21.699261 -114.305047,50.208243 18.520918,30.820253 117.233732,-27.006393 162.575665,-52.320696 -102.609442,-2.219631 -39.762140,55.000300 117.713533,11.903412 -166.657338,-43.836122 -116.246676,-39.471552 -13.212434,17.418142 34.405444,46.790369 -146.065931,-7.818050 -92.727981,-54.241264 -22.945286,-21.699261 65.694953,35.792196 111.927233,30.820253 -62.766268,-27.006393 -17.424335,-52.320696 77.390558,-2.219631 140.237860,50.208243 -161.479082,11.903412 13.342662,-43.836122 63.753324,-39.471552 166.787566,17.418142 -145.594556,55.000300 -62.286467
37.071786 -66.594045,45.770220 35.979181,-9.305542 88.210716,-54.579849 159.976094,-20.260405 -113.238847,50.996323 20.967382,29.454324 118.497937,-28.394228 163.773895,-51.648253 -100.012955,-0.723342 -38.845826,54.806317 120.720152,10.421082 -165.701118,-44.922817 -114.347821,-38.240539 -11.630635,18.874435 35.432491,45.770220 -144.020819,-9.305542 -91.789284,-54.579849 -20.023906,-20.260405 66.761153,37.071786 113.405955,29.454324 -61.502063,-28.394228 -16.226105,-51.648253 79.987045,-0.723342 141.154174,50.996323 -159.032618,10.421082 14.298882,-44.922817 65.652179,-38.240539 168.369365,18.874435 -144.567509,54.806317 -59.279848
38.328717 -65.061090,44.710205 37.945207,-10.789613 89.158338,-54.840642 162.942409,-18.813262 -112.194328,51.725877 23.498993,28.074029 119.725279,-29.768502 165.006710,-50.914597 -97.499180,0.773282 -37.930135,54.532484 123.690855,8.935054 -164.755103,-45.972075 -112.372788,-36.985210 -10.105787,20.323286 36.479548,44.710205 -142.054793,-10.789613 -90.841662,-54.840642 -17.057591,-18.813262 67.805672,38.328717 114.938910,28.074029 -60.274721,-29.768502 -14.993290,-50.914597 82.500820,0.773282 142.069865,51.725877 -156.501007,8.935054 15.244897,-45.972075 67.627212,-36.985210 169.894213,20.323286 -143.520452,54.532484 -56.309145
39.561161 -63.470523,43.613132 39.835089,-12.269688 90.116421,-55.021896 165.942617,-17.358581 -111.169569,52.393457 26.113657,26.680496 120.918371,-31.128083 166.276727,-50.123135 -95.070057,2.269719 -37.013659,54.180645 126.614642,7.445902 -163.817764,-46.981091 -110.318723,-35.707362 -8.634553,21.763934 37.548554,43.613132 -140.164911,-12.269688 -89.883579,-55.021896 -14.057383,-17.358581 68.830431,39.561161 116.529477,26.680496 -59.081629,-31.128083 -13.723273,-50.123135 84.929943,2.269719 142.986341,52.393457 -153.886343,7.445902 16.182236,-46.981091 69.681277,-35.707362 171.365447,21.763934 -142.451446,54.180645 -53.385358
40.767155 -61.818901,42.481652 41.652021,-13.745176 91.086540,-55.122365 168.964767,-15.897075 -110.162726,52.995674 28.807980,25.274782 122.079705,-32.471755 167.586684,-49.277272 -92.726383,3.765446 -36.094992,53.753088 129.481713,5.954184 -162.887606,-47.946909 -108.183145,-34.408666 -7.213677,23.195579 38.641534,42.481652 -138.347979,-13.745176 -88.913460,-55.122365 -11.035233,-15.897075 69.837274,40.767155 118.181099,25.274782 -57.920295,-32.471755 -12.413316,-49.277272 87.273617,3.765446 143.905008,52.995674 -151.192020,5.954184 17.112394,-47.946909 71.816855,-34.408666 172.786323,23.195579 -141.358466,53.753088 -50.518287
41.944591 -60.102747,41.318252 43.399360,-15.215461 92.070321,-55.141348 171.996301,-14.429423 -109.172025,53.529258 31.577153,23.857875 123.211658,-33.798218 168.939443,-48.380362 -90.467968,5.259938 -35.172715,53.252476 132.283638,4.460448 -161.963163,-48.866431 -105.964062,-33.090675 -5.840012,24.617371 39.760608,41.318252 -136.600640,-15.215461 -87.929679,-55.141348 -8.003699,-14.429423 70.827975,41.944591 119.897253,23.857875 -56.788342,-33.798218 -11.060557,-48.380362 89.532032,5.259938 144.827285,53.529258 -148.422847,4.460448 18.036837,-48.866431 74.035938,-33.090675 174.159988,24.617371 -140.239392,53.252476 -47.716362
43.091212 -58.318594,40.125264 45.080552,-16.679907 93.069443,-55.078710 175.024400,-12.956276 -108.195760,53.991131 34.414897,22.430702 124.316500,-35.106071 170.337984,-47.435675 -88.293781,6.752661 -34.245395,52.681771 135.013446,2.965230 -161.042995,-49.736440 -103.660105,-31.754836 -4.510518,26.028408 40.907993,40.125264 -134.919448,-16.679907 -86.930557,-55.078710 -4.975600,-12.956276 71.804240,43.091212 121.681406,22.430702 -55.683500,-35.106071 -9.662016,-47.435675 91.706219,6.752661 145.754605,53.991131 -145.585103,2.965230 18.957005,-49.736440 76.339895,-31.754836 175.489482,26.028408 -139.092007,52.681771 -44.986554
44.204601 -56.463037,38.904864 46.699073,-18.137848 94.085647,-54.934892 178.036340,-11.478259 -107.232281,54.378481 37.313455,20.994137 125.396395,-36.393813 171.785407,-46.446366 -86.202101,8.243075 -33.311578,52.044163 137.665651,1.469057 -160.125676,-50.553615 -101.270673,-30.402495 -3.222280,27.427731 42.086017,38.904864 -133.300927,-18.137848 -85.914353,-54.934892 -1.963660,-11.478259 72.767719,44.204601 123.536963,20.994137 -54.603605,-36.393813 -8.214593,-46.446366 93.797899,8.243075 146.688422,54.378481 -142.686545,1.469057 19.874324,-50.553615 78.729327,-30.402495 176.777720,27.427731 -137.913983,52.044163 -42.334349
